trip_uuid,source_center,destination_center,route_type,segment_osrm_time,segment_actual_time,baseline_pred_min,graph_pred_min,baseline_err_pct,graph_err_pct,graph_wins
trip-153858359451416248,IND523230AAA,IND523105AAA,FTL,42.0,59.0,59.51,55.41,0.8643845380362818,6.086070960551803,False
trip-153806294729162655,IND523316AAB,IND522647AAA,FTL,53.0,86.0,86.21,83.31,0.24058319801507994,3.1301025413574006,False
trip-153814724311950281,IND523316AAB,IND522647AAA,FTL,52.0,80.0,81.33,80.21,1.666126251220703,0.2622242166764366,True
trip-153823878799649049,IND523316AAB,IND522647AAA,FTL,51.0,86.0,82.27,80.58,4.333052524300509,6.307456809964142,False
trip-153834559686295163,IND523316AAB,IND522647AAA,FTL,53.0,110.0,92.86,86.24,15.581866177645596,21.596767525581917,False
trip-153842870599280405,IND523316AAB,IND522647AAA,FTL,53.0,112.0,92.15,87.74,17.725685664585658,21.66153853871622,False
trip-153850039524199741,IND523316AAB,IND522647AAA,FTL,53.0,104.0,90.65,87.07,12.837857466477615,16.276877138759318,False
trip-153858336498101365,IND523316AAB,IND522647AAA,FTL,53.0,88.0,86.57,86.1,1.6260060397061435,2.1583404478443313,False
trip-153802078450459942,IND524101AAB,IND517501AAB,FTL,76.0,149.0,155.65,148.48,4.461751848259228,0.34791322115482815,True
trip-153810762744814459,IND524101AAB,IND517501AAB,FTL,76.0,139.0,141.56,141.06,1.8386731044851619,1.4839614292176597,True
trip-153819415176480421,IND524101AAB,IND517501AAB,FTL,73.0,224.0,260.35,212.86,16.227340698242188,4.971984364031913,True
trip-153802078450459942,IND524132AAA,IND524101AAB,FTL,36.0,68.0,65.93,66.01,3.037879046271829,2.9240556243131475,True
trip-153810762744814459,IND524132AAA,IND524101AAB,FTL,34.0,54.0,55.71,55.86,3.169533058449074,3.444246355082286,False
trip-153819415176480421,IND524132AAA,IND524101AAB,FTL,35.0,59.0,59.06,57.2,0.10506581451933263,3.0524487509588027,False
trip-153806309018898401,IND524201AAA,IND523002AAA,FTL,79.0,77.0,89.28,76.62,15.948010729504869,0.49342650902901053,True
trip-153814738977136010,IND524201AAA,IND523002AAA,FTL,69.0,83.0,86.14,76.81,3.786863763648343,7.456909380805297,False
trip-153834590219303895,IND524201AAA,IND523002AAA,FTL,84.0,95.0,97.34,87.14,2.462471409847862,8.271069475200484,False
trip-153842912218189336,IND524201AAA,IND523002AAA,FTL,69.0,70.0,73.82,67.86,5.457981654575892,3.0640692503229365,True
trip-153850044599697017,IND524201AAA,IND523002AAA,FTL,70.0,80.0,86.64,76.03,8.29564094543457,4.961828282116354,True
trip-153858359451416248,IND524201AAA,IND523002AAA,FTL,69.0,85.0,88.94,78.41,4.633474910960478,7.756601453388445,False
trip-153801389737013261,IND530012AAA,IND530043AAA,Carting,18.0,50.0,68.11,62.54,36.210479736328125,25.088521281069205,True
trip-153818424967565690,IND530012AAA,IND530043AAA,Carting,16.0,41.0,46.89,46.14,14.362800412061738,12.547771004828498,True
trip-153828143492075051,IND530012AAA,IND530043AAA,Carting,19.0,80.0,86.93,80.79,8.668193817138672,0.9840806745311782,True
trip-153828063253608270,IND530012AAA,IND531001AAA,Carting,27.0,35.0,41.82,43.64,19.47680882045201,24.690188735230326,False
